CODE,DESCRIPTION,QTY,UNIT,RATE,SUBTOTAL,MARKUP,TOTAL
06.CO.0.2.1.2.0.R4,Ground Slab up to 100mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.2.0.R5,Ground Slab up to 100mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.2.0.R6,Ground Slab up to 100mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.3.0,101mm To 200mm Thick,,,,,,
06.CO.0.2.1.3.0.R0,Ground Slab 101mm to 200mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.3.0.R1,Ground Slab 101mm to 200mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.3.0.R2,Ground Slab 101mm to 200mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.3.0.R3,Ground Slab 101mm to 200mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.3.0.R4,Ground Slab 101mm to 200mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.3.0.R5,Ground Slab 101mm to 200mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.3.0.R6,Ground Slab 101mm to 200mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.4.0,201mm To 300mm Thick,,,,,,
06.CO.0.2.1.4.0.R0,Ground Slab 201mm to 300mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.4.0.R1,Ground Slab 201mm to 300mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.4.0.R2,Ground Slab 201mm to 300mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.4.0.R3,Ground Slab 201mm to 300mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.4.0.R4,Ground Slab 201mm to 300mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.4.0.R5,Ground Slab 201mm to 300mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.4.0.R6,Ground Slab 201mm to 300mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.5.0,301mm To 400mm Thick,,,,,,
06.CO.0.2.1.5.0.R0,Ground Slab 301mm to 400mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.5.0.R1,Ground Slab 301mm to 400mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.5.0.R2,Ground Slab 301mm to 400mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.5.0.R3,Ground Slab 301mm to 400mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.5.0.R4,Ground Slab 301mm to 400mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.5.0.R5,Ground Slab 301mm to 400mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.5.0.R6,Ground Slab 301mm to 400mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.6.0,401mm To 500mm Thick,,,,,,
06.CO.0.2.1.6.0.R0,Ground Slab 401mm to 500mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.6.0.R1,Ground Slab 401mm to 500mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.6.0.R2,Ground Slab 401mm to 500mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.6.0.R3,Ground Slab 401mm to 500mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.6.0.R4,Ground Slab 401mm to 500mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.6.0.R5,Ground Slab 401mm to 500mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.6.0.R6,Ground Slab 401mm to 500mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.7.0,501mm To 600mm Thick,,,,,,
06.CO.0.2.1.7.0.R0,Ground Slab 501mm to 600mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.7.0.R1,Ground Slab 501mm to 600mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.7.0.R2,Ground Slab 501mm to 600mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.7.0.R3,Ground Slab 501mm to 600mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.7.0.R4,Ground Slab 501mm to 600mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.7.0.R5,Ground Slab 501mm to 600mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.7.0.R6,Ground Slab 501mm to 600mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.8.0,601mm To 700mm Thick,,,,,,
06.CO.0.2.1.8.0.R0,Ground Slab 601mm to 700mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.8.0.R1,Ground Slab 601mm to 700mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.8.0.R2,Ground Slab 601mm to 700mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.8.0.R3,Ground Slab 601mm to 700mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.8.0.R4,Ground Slab 601mm to 700mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.8.0.R5,Ground Slab 601mm to 700mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.8.0.R6,Ground Slab 601mm to 700mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.9.0,701mm To 800mm Thick,,,,,,
06.CO.0.2.1.9.0.R0,Ground Slab 701mm to 800mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.9.0.R1,Ground Slab 701mm to 800mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.9.0.R2,Ground Slab 701mm to 800mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.9.0.R3,Ground Slab 701mm to 800mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.9.0.R4,Ground Slab 701mm to 800mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.9.0.R5,Ground Slab 701mm to 800mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.9.0.R6,Ground Slab 701mm to 800mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.10.0,801mm To 900mm Thick,,,,,,
06.CO.0.2.1.10.0.R0,Ground Slab 801mm to 900mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.10.0.R1,Ground Slab 801mm to 900mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.10.0.R2,Ground Slab 801mm to 900mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.10.0.R3,Ground Slab 801mm to 900mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.10.0.R4,Ground Slab 801mm to 900mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.10.0.R5,Ground Slab 801mm to 900mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.10.0.R6,Ground Slab 801mm to 900mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.11.0,901mm To 1000mm Thick,,,,,,
06.CO.0.2.1.11.0.R0,Ground Slab 901mm to 1000mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.11.0.R1,Ground Slab 901mm to 1000mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.11.0.R2,Ground Slab 901mm to 1000mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.11.0.R3,Ground Slab 901mm to 1000mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.11.0.R4,Ground Slab 901mm to 1000mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.11.0.R5,Ground Slab 901mm to 1000mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.11.0.R6,Ground Slab 901mm to 1000mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.12.0,Greater than 1001mm Thick,,,,,,
06.CO.0.2.1.12.0.R0,Ground Slab Greater Than 1001mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.12.0.R1,Ground Slab Greater Than 1001mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.12.0.R2,Ground Slab Greater Than 1001mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.12.0.R3,Ground Slab Greater Than 1001mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.12.0.R4,Ground Slab Greater Than 1001mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.12.0.R5,Ground Slab Greater Than 1001mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.1.12.0.R6,Ground Slab Greater Than 1001mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
06.CO.0.2.2.0.0,Stiffened Raft Slabs,,,,,,
06.CO.0.2.2.0.0.R0,Stiffened Raft Slab - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.2.0.0.R1,Stiffened Raft Slab - 15mPa (includes associated placement to attached ground beams) including material placement labour & small hand held plant excludes integral finishes & pump,,m3,,,,
06.CO.0.2.2.0.0.R2,Stiffened Raft Slab - 20mPa (includes associated placement to attached ground beams) including material placement labour & small hand held plant excludes integral finishes & pump,,m3,,,,
06.CO.0.2.2.0.0.R3,Stiffened Raft Slab - 25mPa (includes associated placement to attached ground beams) including material placement labour & small hand held plant excludes integral finishes & pump,,m3,,,,
06.CO.0.2.2.0.0.R4,Stiffened Raft Slab - 32mPa (includes associated placement to attached ground beams) including material placement labour & small hand held plant excludes integral finishes & pump,,m3,,,,
06.CO.0.2.2.0.0.R5,Stiffened Raft Slab - 40mPa (includes associated placement to attached ground beams) including material placement labour & small hand held plant excludes integral finishes & pump,,m3,,,,
