CODE,DESCRIPTION,QTY,UNIT,RATE,SUBTOTAL,MARKUP,TOTAL
06.CO.0.6.1.10.0.R3,Temporary Formed Wall 451mm to 500mm Thick - 25mPa concrete including material labour & plant not including pump (Placed from formwork deck as part of slab pour),,m3,,,,
06.CO.0.6.1.10.0.R4,Temporary Formed Wall 451mm to 500mm Thick - 32mPa concrete including material labour & plant not including pump (Placed from formwork deck as part of slab pour),,m3,,,,
06.CO.0.6.1.10.0.R5,Temporary Formed Wall 451mm to 500mm Thick - 40mPa concrete including material labour & plant not including pump (Placed from formwork deck as part of slab pour),,m3,,,,
06.CO.0.6.1.10.0.R6,Temporary Formed Wall 451mm to 500mm Thick - 50mPa concrete including material labour & plant not including pump (Placed from formwork deck as part of slab pour),,m3,,,,
06.CO.0.6.2.0.0,Temporary Formed Wall Placed From Scaffold,,,,,,
06.CO.0.6.2.1.0,Per 1M3,,,,,,
06.CO.0.6.2.1.0.R0,Temporary Formed Wall - Labour only excludes material & all plant (Placed from scaffold or other lower platform),,hr,,,,
06.CO.0.6.2.1.0.R1,Temporary Formed Wall - 15mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.1.0.R2,Temporary Formed Wall - 20mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.1.0.R3,Temporary Formed Wall - 25mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.1.0.R4,Temporary Formed Wall - 32mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.1.0.R5,Temporary Formed Wall - 40mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.1.0.R6,Temporary Formed Wall - 50mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.2.0,Up To 100mm Thick,,,,,,
06.CO.0.6.2.2.0.R0,Temporary Formed Wall up to 100mm thick - Labour only excludes material & all plant (Placed from scaffold or other lower platform),,hr,,,,
06.CO.0.6.2.2.0.R1,Temporary Formed Wall up to 100mm Thick - 15mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform) ,,m3,,,,
06.CO.0.6.2.2.0.R2,Temporary Formed Wall up to 100mm Thick - 20mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform) ,,m3,,,,
06.CO.0.6.2.2.0.R3,Temporary Formed Wall up to 100mm Thick - 25mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform) ,,m3,,,,
06.CO.0.6.2.2.0.R4,Temporary Formed Wall up to 100mm Thick - 32mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.2.0.R5,Temporary Formed Wall up to 100mm Thick - 40mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.2.0.R6,Temporary Formed Wall up to 100mm Thick - 50mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.3.0,101mm To 150mm,,,,,,
06.CO.0.6.2.3.0.R0,Temporary Formed Wall 101mm to 150mm Thick - Labour only excludes material & all plant (Placed from scaffold or other lower platform),,hr,,,,
06.CO.0.6.2.3.0.R1,Temporary Formed Wall 101mm to 150mm Thick - 15mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.3.0.R2,Temporary Formed Wall 101mm to 150mm Thick - 20mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.3.0.R3,Temporary Formed Wall 101mm to 150mm Thick - 25mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.3.0.R4,Temporary Formed Wall 101mm to 150mm Thick - 32mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.3.0.R5,Temporary Formed Wall 101mm to 150mm Thick - 40mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.3.0.R6,Temporary Formed Wall 101mm to 150mm Thick - 50mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.4.0,151mm To 200mm,,,,,,
06.CO.0.6.2.4.0.R0,Temporary Formed Wall 151mm to 200mm Thick - Labour only excludes material & all plant (Placed from scaffold or other lower platform),,hr,,,,
06.CO.0.6.2.4.0.R1,Temporary Formed Wall 151mm to 200mm Thick - 15mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.4.0.R2,Temporary Formed Wall 151mm to 200mm Thick - 20mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.4.0.R3,Temporary Formed Wall 151mm to 200mm Thick - 25mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.4.0.R4,Temporary Formed Wall 151mm to 200mm Thick - 32mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.4.0.R5,Temporary Formed Wall 151mm to 200mm Thick - 40mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.4.0.R6,Temporary Formed Wall 151mm to 200mm Thick - 50mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.5.0,201mm To 250mm,,,,,,
06.CO.0.6.2.5.0.R0,Temporary Formed Wall 201mm to 250mm Thick - Labour only excludes material & all plant (Placed from scaffold or other lower platform),,hr,,,,
06.CO.0.6.2.5.0.R1,Temporary Formed Wall 201mm to 250mm Thick - 15mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.5.0.R2,Temporary Formed Wall 201mm to 250mm Thick - 20mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.5.0.R3,Temporary Formed Wall 201mm to 250mm Thick - 25mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.5.0.R4,Temporary Formed Wall 201mm to 250mm Thick - 32mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.5.0.R5,Temporary Formed Wall 201mm to 250mm Thick - 40mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.5.0.R6,Temporary Formed Wall 201mm to 250mm Thick - 50mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.6.0,251mm To 300mm,,,,,,
06.CO.0.6.2.6.0.R0,Temporary Formed Wall 251mm to 300mm Thick - Labour only excludes material & all plant (Placed from scaffold or other lower platform),,hr,,,,
06.CO.0.6.2.6.0.R1,Temporary Formed Wall 251mm to 300mm Thick - 15mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.6.0.R2,Temporary Formed Wall 251mm to 300mm Thick - 20mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.6.0.R3,Temporary Formed Wall 251mm to 300mm Thick - 25mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.6.0.R4,Temporary Formed Wall 251mm to 300mm Thick - 32mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.6.0.R5,Temporary Formed Wall 251mm to 300mm Thick - 40mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.6.0.R6,Temporary Formed Wall 251mm to 300mm Thick - 50mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.7.0,301mm To 350mm,,,,,,
06.CO.0.6.2.7.0.R0,Temporary Formed Wall 301mm to 350mm Thick - Labour only excludes material & all plant (Placed from scaffold or other lower platform),,hr,,,,
06.CO.0.6.2.7.0.R1,Temporary Formed Wall 301mm to 350mm Thick - 15mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.7.0.R2,Temporary Formed Wall 301mm to 350mm Thick - 20mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.7.0.R3,Temporary Formed Wall 301mm to 350mm Thick - 25mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.7.0.R4,Temporary Formed Wall 301mm to 350mm Thick - 32mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.7.0.R5,Temporary Formed Wall 301mm to 350mm Thick - 40mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.7.0.R6,Temporary Formed Wall 301mm to 350mm Thick - 50mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.8.0,351mm To 400mm,,,,,,
06.CO.0.6.2.8.0.R0,Temporary Formed Wall 351mm to 400mm Thick - Labour only excludes material & all plant (Placed from scaffold or other lower platform),,hr,,,,
06.CO.0.6.2.8.0.R1,Temporary Formed Wall 351mm to 400mm Thick - 15mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.8.0.R2,Temporary Formed Wall 351mm to 400mm Thick - 20mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.8.0.R3,Temporary Formed Wall 351mm to 400mm Thick - 25mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.8.0.R4,Temporary Formed Wall 351mm to 400mm Thick - 32mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.8.0.R5,Temporary Formed Wall 351mm to 400mm Thick - 40mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.8.0.R6,Temporary Formed Wall 351mm to 400mm Thick - 50mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.9.0,401mm To 450mm,,,,,,
06.CO.0.6.2.9.0.R0,Temporary Formed Wall 401mm to 450mm Thick - Labour only excludes material & all plant (Placed from scaffold or other lower platform),,hr,,,,
06.CO.0.6.2.9.0.R1,Temporary Formed Wall 401mm to 450mm Thick - 15mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.9.0.R2,Temporary Formed Wall 401mm to 450mm Thick - 20mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.9.0.R3,Temporary Formed Wall 401mm to 450mm Thick - 25mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.9.0.R4,Temporary Formed Wall 401mm to 450mm Thick - 32mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.9.0.R5,Temporary Formed Wall 401mm to 450mm Thick - 40mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.9.0.R6,Temporary Formed Wall 401mm to 450mm Thick - 50mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.10.0,451mm To 500mm,,,,,,
06.CO.0.6.2.10.0.R0,Temporary Formed Wall 451mm to 500mm Thick - Labour only excludes material & all plant (Placed from scaffold or other lower platform),,hr,,,,
06.CO.0.6.2.10.0.R1,Temporary Formed Wall 451mm to 500mm Thick - 15mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.10.0.R2,Temporary Formed Wall 451mm to 500mm Thick - 20mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.10.0.R3,Temporary Formed Wall 451mm to 500mm Thick - 25mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.10.0.R4,Temporary Formed Wall 451mm to 500mm Thick - 32mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.10.0.R5,Temporary Formed Wall 451mm to 500mm Thick - 40mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.2.10.0.R6,Temporary Formed Wall 451mm to 500mm Thick - 50mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.3.0.0,Permenant Formwork Wall Placed From Formed Deck,,,,,,
06.CO.0.6.3.0.0.R0,Permenant Formwork PVC Wall - Labour only excludes material & all plant (Placed from formwork deck as part of slab pour),,hr,,,,
06.CO.0.6.3.0.0.R1,Permenant Formwork PVC Wall - 15mPa concrete including material labour & plant not including pump (Placed from formwork deck as part of slab pour),,m3,,,,
06.CO.0.6.3.0.0.R2,Permenant Formwork PVC Wall - 20mPa concrete including material labour & plant not including pump (Placed from formwork deck as part of slab pour),,m3,,,,
06.CO.0.6.3.0.0.R3,Permenant Formwork PVC Wall - 25mPa concrete including material labour & plant not including pump (Placed from formwork deck as part of slab pour),,m3,,,,
06.CO.0.6.3.0.0.R4,Permenant Formwork PVC Wall - 32mPa concrete including material labour & plant not including pump (Placed from formwork deck as part of slab pour),,m3,,,,
06.CO.0.6.3.0.0.R5,Permenant Formwork PVC Wall - 40mPa concrete including material labour & plant not including pump (Placed from formwork deck as part of slab pour),,m3,,,,
06.CO.0.6.3.0.0.R6,Permenant Formwork PVC Wall - 50mPa concrete including material labour & plant not including pump (Placed from formwork deck as part of slab pour),,m3,,,,
06.CO.0.6.4.0.0,Permenant Formwork Wall Placed From Scaffold,,,,,,
06.CO.0.6.4.0.0.R0,Permenant Formwork PVC Wall - Labour only excludes material & all plant (Placed from scaffold or other lower platform),,hr,,,,
06.CO.0.6.4.0.0.R1,Permenant Formwork PVC Wall - 15mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.4.0.0.R2,Permenant Formwork PVC Wall - 20mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.4.0.0.R3,Permenant Formwork PVC Wall - 25mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.4.0.0.R4,Permenant Formwork PVC Wall - 32mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.4.0.0.R5,Permenant Formwork PVC Wall - 40mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.6.4.0.0.R6,Permenant Formwork PVC Wall - 50mPa concrete including material labour & plant not including pump (Placed from scaffold or other lower platform),,m3,,,,
06.CO.0.7.0.0.0,Columns And Beams,,,,,,
06.CO.0.7.1.0.0,Isolated Columns,,,,,,
06.CO.0.7.1.0.0.R0,Isolated Column - Labour only excludes material & all plant,,hr,,,,
06.CO.0.7.1.0.0.R1,Isolated Column - 15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.1.0.0.R2,Isolated Column - 20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.1.0.0.R3,Isolated Column - 25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.1.0.0.R4,Isolated Column - 32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.1.0.0.R5,Isolated Column - 40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.1.0.0.R6,Isolated Column - 50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.2.0.0,Isolated Piers,,,,,,
06.CO.0.7.2.0.0.R0,Isolated Pier  - Labour only excludes material & all plan,,hr,,,,
06.CO.0.7.2.0.0.R1,Isolated Pier -  15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.2.0.0.R2,Isolated Pier -  20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.2.0.0.R3,Isolated Pier -  25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.2.0.0.R4,Isolated Pier -  32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.2.0.0.R5,Isolated Pier -  40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.2.0.0.R6,Isolated Pier -  50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.3.0.0,Isolated Beams,,,,,,
06.CO.0.7.3.0.0.R0,Isolated Beam - Labour only excludes material & all plant,,hr,,,,
06.CO.0.7.3.0.0.R1,Isolated Beam -  15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.3.0.0.R2,Isolated Beam -  20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.3.0.0.R3,Isolated Beam -  25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.3.0.0.R4,Isolated Beam -  32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.3.0.0.R5,Isolated Beam -  40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.3.0.0.R6,Isolated Beam -  50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.4.0.0,Isolated Lintels,,,,,,
06.CO.0.7.4.0.0.R0,Isolated Lintel - Labour only excludes material & all plant,,hr,,,,
06.CO.0.7.4.0.0.R1,Isolated Lintel -  15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.4.0.0.R2,Isolated Lintel -  20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.4.0.0.R3,Isolated Lintel -  25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.4.0.0.R4,Isolated Lintel -  32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.4.0.0.R5,Isolated Lintel -  40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.4.0.0.R6,Isolated Lintel -  50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.5.0.0,Attached Beams,,,,,,
06.CO.0.7.5.0.0.R0,Attached Beam - Labour only excludes material & all plant,,hr,,,,
06.CO.0.7.5.0.0.R1,Attached Beam -  15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.5.0.0.R2,Attached Beam -  20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.5.0.0.R3,Attached Beam -  25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.5.0.0.R4,Attached Beam -  32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.5.0.0.R5,Attached Beam -  40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.5.0.0.R6,Attached Beam -  50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.6.0.0,Attached Upstand Beams,,,,,,
06.CO.0.7.6.0.0.R0,Attached Upstand Beam - Labour only excludes material & all plant,,hr,,,,
06.CO.0.7.6.0.0.R1,Attached Upstand Beam - 15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.6.0.0.R2,Attached Upstand Beam - 20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.6.0.0.R3,Attached Upstand Beam - 25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.6.0.0.R4,Attached Upstand Beam - 32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.6.0.0.R5,Attached Upstand Beam - 40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.7.6.0.0.R6,Attached Upstand Beam - 50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.0.0.0,Casing To Steelwork,,,,,,
06.CO.0.8.1.0.0,Isolated Columns,,,,,,
06.CO.0.8.1.0.0.R0,Isolated Column - Labour only excludes material & all plant,,hr,,,,
06.CO.0.8.1.0.0.R1,Isolated Column - 15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.1.0.0.R2,Isolated Column - 20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.1.0.0.R3,Isolated Column - 25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.1.0.0.R4,Isolated Column - 32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.1.0.0.R5,Isolated Column - 40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.1.0.0.R6,Isolated Column - 50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.2.0.0,Isolated Piers,,,,,,
06.CO.0.8.2.0.0.R0,Isolated Pier  - Labour only excludes material & all plan,,hr,,,,
06.CO.0.8.2.0.0.R1,Isolated Pier -  15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.2.0.0.R2,Isolated Pier -  20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.2.0.0.R3,Isolated Pier -  25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.2.0.0.R4,Isolated Pier -  32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.2.0.0.R5,Isolated Pier -  40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.2.0.0.R6,Isolated Pier -  50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.3.0.0,Isolated Beams,,,,,,
06.CO.0.8.3.0.0.R0,Isolated Beam - Labour only excludes material & all plant,,hr,,,,
06.CO.0.8.3.0.0.R1,Isolated Beam -  15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.3.0.0.R2,Isolated Beam -  20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.3.0.0.R3,Isolated Beam -  25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.3.0.0.R4,Isolated Beam -  32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.3.0.0.R5,Isolated Beam -  40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.3.0.0.R6,Isolated Beam -  50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.4.0.0,Isolated Lintels,,,,,,
06.CO.0.8.4.0.0.R0,Isolated Lintel - Labour only excludes material & all plant,,hr,,,,
06.CO.0.8.4.0.0.R1,Isolated Lintel -  15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.4.0.0.R2,Isolated Lintel -  20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.4.0.0.R3,Isolated Lintel -  25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.4.0.0.R4,Isolated Lintel -  32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.4.0.0.R5,Isolated Lintel -  40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.4.0.0.R6,Isolated Lintel -  50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.5.0.0,Attached Beams,,,,,,
06.CO.0.8.5.0.0.R0,Attached Beam - Labour only excludes material & all plant,,hr,,,,
06.CO.0.8.5.0.0.R1,Attached Beam -  15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.5.0.0.R2,Attached Beam -  20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.5.0.0.R3,Attached Beam -  25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.5.0.0.R4,Attached Beam -  32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.5.0.0.R5,Attached Beam -  40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.8.5.0.0.R6,Attached Beam -  50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.9.0.0.0,Stairs,,,,,,
06.CO.0.9.0.0.0.R0,Stair - Labour only excludes material & all plant,,hr,,,,
06.CO.0.9.0.0.0.R1,Stair - 15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.9.0.0.0.R2,Stair - 20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.9.0.0.0.R3,Stair - 25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.9.0.0.0.R4,Stair - 32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.9.0.0.0.R5,Stair - 40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.9.0.0.0.R6,Stair - 50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.0.0.0,Copings Kerbs Urinal Steps Etc,,,,,,
06.CO.0.10.1.0.0,Copings,,,,,,
06.CO.0.10.1.0.0.R0,Coping - Labour only excludes material & all plant,,hr,,,,
06.CO.0.10.1.0.0.R1,Coping - 15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.1.0.0.R2,Coping - 20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.1.0.0.R3,Coping - 25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.1.0.0.R4,Coping - 32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.1.0.0.R5,Coping - 40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.1.0.0.R6,Coping - 50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.2.0.0,Kerbs,,,,,,
06.CO.0.10.2.0.0.R0,Kerb - Labour only excludes material & all plant,,hr,,,,
06.CO.0.10.2.0.0.R1,Kerb - 15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.2.0.0.R2,Kerb - 20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.2.0.0.R3,Kerb - 25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.2.0.0.R4,Kerb - 32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.2.0.0.R5,Kerb - 40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.2.0.0.R6,Kerb - 50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.3.0.0,Urinals,,,,,,
06.CO.0.10.3.0.0.R0,Urinal - Labour only excludes material & all plant,,hr,,,,
06.CO.0.10.3.0.0.R1,Urinal - 15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.3.0.0.R2,Urinal - 20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.3.0.0.R3,Urinal - 25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.3.0.0.R4,Urinal - 32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.3.0.0.R5,Urinal - 40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.3.0.0.R6,Urinal - 50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.4.0.0,Steps,,,,,,
06.CO.0.10.4.0.0.R0,Step - Labour only excludes material & all plant,,hr,,,,
06.CO.0.10.4.0.0.R1,Step - 15mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.4.0.0.R2,Step - 20mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.4.0.0.R3,Step - 25mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.4.0.0.R4,Step - 32mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.4.0.0.R5,Step - 40mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.10.4.0.0.R6,Step - 50mPa concrete including material labour & plant not including pump,,m3,,,,
06.CO.0.11.0.0.0,Plinths Plant Machine Bases Etc,,,,,,
